 Length , Weight (g) 
 11.00 , 77.00 
 11.00 , 87.00 
 11.00 , 91.00 
 11.00 , 110.00 
 11.00 , 89.90 
 11.00 , 71.00 
 11.00 , 90.00 
 11.00 , 86.00 
 11.00 , 72.00 
 11.00 , 76.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 80.00 
 11.00 , 80.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 90.00 
 11.00 , 85.00 
 11.00 , 74.00 
 11.00 , 80.00 
 11.00 , 71.00 
 11.00 , 77.00 
 11.00 , 86.00 
 11.00 , 75.00 
 11.00 , 63.00 
 11.00 , 92.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 84.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 103.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 60.00 
 11.00 , 80.00 
 11.00 , 70.00 
 11.00 , 80.00 
 11.00 , 70.00 
 11.00 , 90.00 
 11.00 , 60.00 
 11.00 , 80.00 
 11.00 , 80.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 80.00 
 11.00 , 76.00 
 11.00 , 78.00 
 11.00 , 72.00 
 11.00 , 84.00 
 11.00 , 68.00 
 11.00 , 81.00 
 11.00 , 72.00 
 11.00 , 75.00 
 11.00 , 100.00 
 11.00 , 120.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 90.00 
 11.00 , 85.00 
 11.00 , 98.00 
 11.00 , 80.00 
 11.00 , 195.00 
 11.00 , 99.00 
 11.00 , 81.00 
 11.00 , 108.00 
 11.00 , 81.00 
 11.00 , 98.00 
 11.00 , 91.00 
 11.00 , 83.00 
 11.00 , 95.00 
 11.00 , 80.00 
 11.00 , 92.00 
 11.00 , 86.00 
 11.00 , 91.00 
 11.00 , 87.00 
 11.00 , 84.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 80.00 
 11.00 , 85.00 
 11.00 , 85.00 
 11.00 , 85.00 
 11.00 , 75.00 
 11.00 , 85.00 
 11.00 , 80.00 
 11.00 , 100.00 
 11.00 , 99.00 
 11.00 , 91.00 
 11.00 , 89.00 
 11.00 , 92.00 
 11.00 , 81.00 
 11.00 , 84.00 
 11.00 , 67.00 
 11.00 , 67.00 
 11.00 , 77.00 
 11.00 , 68.00 
 11.00 , 75.00 
 11.00 , 76.00 
 11.00 , 86.00 
 11.00 , 79.00 
 11.00 , 74.00 
 11.00 , 68.00 
 11.00 , 97.00 
 11.00 , 82.00 
 11.00 , 81.00 
 11.00 , 110.00 
 11.00 , 98.00 
 11.00 , 84.00 
 11.00 , 68.00 
 11.00 , 76.00 
 11.00 , 89.00 
 11.00 , 100.00 
 11.00 , 90.00 
 11.00 , 80.00 
 11.00 , 50.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 95.00 
 11.00 , 75.00 
 11.00 , 100.00 
 11.00 , 85.00 
 11.00 , 102.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 98.00 
 11.00 , 96.00 
 11.00 , 98.00 
 11.00 , 103.00 
 11.00 , 80.00 
 11.00 , 89.00 
 11.00 , 91.00 
 11.00 , 85.00 
 11.00 , 100.00 
 11.00 , 110.00 
 11.00 , 110.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 110.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 80.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 90.00 
 11.00 , 80.00 
 11.00 , 100.00 
 11.00 , 97.00 
 11.00 , 78.00 
 11.00 , 65.00 
 11.00 , 102.00 
 11.00 , 88.00 
 11.00 , 88.00 
 11.00 , 98.00 
 11.00 , 93.00 
 11.00 , 76.00 
 11.00 , 66.00 
 11.00 , 77.00 
 11.00 , 81.00 
 11.00 , 81.00 
 11.00 , 95.00 
 11.00 , 87.00 
 11.00 , 90.00 
 11.00 , 89.00 
 11.00 , 98.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 80.00 
 11.00 , 78.00 
 11.00 , 82.00 
 11.00 , 86.00 
 11.00 , 75.00 
 11.00 , 89.00 
 11.00 , 75.00 
 11.00 , 93.00 
 11.00 , 70.00 
 11.00 , 90.00 
 11.00 , 110.00 
 11.00 , 86.00 
 11.00 , 80.00 
 11.00 , 91.00 
 11.00 , 76.00 
 11.00 , 78.00 
 11.00 , 74.00 
 11.00 , 80.00 
 11.00 , 86.00 
 11.00 , 81.00 
 11.00 , 85.00 
 11.00 , 85.00 
 11.00 , 100.00 
 11.00 , 81.00 
 11.00 , 100.00 
 11.00 , 95.00 
 11.00 , 71.00 
 11.00 , 84.00 
 11.00 , 93.00 
 11.00 , 71.00 
 11.00 , 90.00 
 11.00 , 79.00 
 11.00 , 100.00 
 11.00 , 60.00 
 11.00 , 71.00 
 11.00 , 88.00 
 11.00 , 70.00 
 11.00 , 70.00 
 11.00 , 90.00 
 11.00 , 65.00 
 11.00 , 80.00 
 11.00 , 80.00 
 11.00 , 65.00 
 11.00 , 75.00 
 11.00 , 70.00 
 11.00 , 90.00 
 11.00 , 50.00 
 11.00 , 100.00 
 11.00 , 90.00 
 11.00 , 90.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 90.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 100.00 
 11.00 , 60.00 
 11.00 , 100.00 
 11.00 , 80.00 
 11.00 , 60.00 
 11.00 , 98.00 
 11.00 , 97.00 
 11.00 , 83.00 
 11.00 , 83.00 
 11.00 , 88.00 
 11.00 , 110.00 
 11.00 , 96.00 
 11.00 , 108.00 
 11.00 , 100.00 
 11.00 , 100.00 
 11.00 , 83.00 
 11.00 , 102.00 
 11.00 , 88.00 
 11.00 , 96.00 
 11.00 , 108.00 
 11.00 , 92.00 
 11.00 , 115.00 
 11.00 , 107.00 
 11.00 , 83.00 
 11.00 , 94.00 
 11.00 , 85.00 
 11.00 , 91.00 
 11.00 , 96.00 
 11.00 , 87.00 
 11.00 , 94.00 
 11.00 , 96.00 
 11.00 , 82.00 
 11.00 , 75.00 
 11.00 , 71.00 
 11.00 , 86.00 
 11.00 , 82.00 
 11.00 , 76.00 
 11.00 , 82.00 
 11.00 , 76.00 
 11.00 , 74.00 
 11.00 , 95.00 
 11.00 , 80.00 
 11.00 , 76.00 
 11.00 , 76.00 
 11.00 , 68.00 
 11.00 , 77.00 
 11.00 , 71.00 
 11.00 , 89.00 
 11.00 , 75.00 
 11.00 , 77.00 
 11.00 , 70.00 
 11.00 , 78.00 
 11.00 , 80.00 
 11.00 , 86.00 
 11.00 , 75.00 
 11.00 , 80.00 
 11.00 , 80.00 
 11.00 , 90.00 
 11.00 , 90.00 
 11.00 , 85.00 
 11.00 , 83.00 
 11.00 , 90.00 
 11.00 , 70.00 
 11.00 , 67.00 
 11.00 , 79.00 
 11.00 , 89.00 
 11.00 , 97.00 
 11.00 , 96.00 
 11.00 , 90.00 
 11.00 , 81.00 
 11.00 , 84.00 
 11.00 , 71.00 
 11.00 , 90.00 
 11.00 , 62.00 
 11.00 , 77.00 
 11.00 , 74.00 
 11.00 , 72.00 
 11.00 , 90.00 
 11.00 , 109.00 
 11.00 , 65.00 
 11.00 , 65.00 
 11.00 , 93.00 
 11.00 , 115.00 
 11.00 , 97.00 
 11.00 , 100.00 
 11.10 , 81.00 
 11.10 , 87.00 
 11.10 , 87.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 79.00 
 11.10 , 77.00 
 11.10 , 115.00 
 11.10 , 106.00 
 11.10 , 79.00 
 11.10 , 87.00 
 11.10 , 78.00 
 11.10 , 73.00 
 11.10 , 78.00 
 11.10 , 83.00 
 11.10 , 79.00 
 11.10 , 78.00 
 11.10 , 85.00 
 11.10 , 68.00 
 11.10 , 65.00 
 11.10 , 70.00 
 11.10 , 79.00 
 11.10 , 75.00 
 11.10 , 69.00 
 11.10 , 72.00 
 11.10 , 90.00 
 11.10 , 86.00 
 11.10 , 88.00 
 11.10 , 90.00 
 11.10 , 100.00 
 11.10 , 80.00 
 11.10 , 66.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 66.00 
 11.10 , 94.00 
 11.10 , 85.00 
 11.10 , 74.00 
 11.10 , 74.00 
 11.10 , 73.00 
 11.10 , 78.00 
 11.10 , 101.00 
 11.10 , 83.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 95.00 
 11.10 , 86.00 
 11.10 , 80.00 
 11.10 , 69.00 
 11.10 , 96.00 
 11.10 , 72.00 
 11.10 , 66.00 
 11.10 , 66.00 
 11.10 , 75.00 
 11.10 , 65.00 
 11.10 , 70.00 
 11.10 , 60.00 
 11.10 , 91.00 
 11.10 , 90.00 
 11.10 , 60.00 
 11.10 , 83.00 
 11.10 , 90.00 
 11.10 , 86.00 
 11.10 , 81.00 
 11.10 , 84.00 
 11.10 , 65.00 
 11.10 , 74.00 
 11.10 , 82.00 
 11.10 , 83.00 
 11.10 , 89.00 
 11.10 , 64.00 
 11.10 , 100.00 
 11.10 , 79.30 
 11.10 , 74.20 
 11.10 , 83.40 
 11.10 , 50.00 
 11.10 , 60.00 
 11.10 , 50.00 
 11.10 , 73.00 
 11.10 , 30.00 
 11.10 , 30.00 
 11.10 , 73.00 
 11.10 , 73.00 
 11.10 , 94.00 
 11.10 , 67.00 
 11.10 , 90.00 
 11.10 , 62.00 
 11.10 , 97.00 
 11.10 , 99.00 
 11.10 , 85.20 
 11.10 , 94.00 
 11.10 , 120.00 
 11.10 , 80.00 
 11.10 , 60.00 
 11.10 , 88.00 
 11.10 , 50.00 
 11.10 , 52.00 
 11.10 , 88.00 
 11.10 , 87.00 
 11.10 , 82.00 
 11.10 , 78.00 
 11.10 , 87.00 
 11.10 , 76.00 
 11.10 , 74.00 
 11.10 , 83.00 
 11.10 , 76.00 
 11.10 , 64.00 
 11.10 , 93.00 
 11.10 , 79.00 
 11.10 , 90.00 
 11.10 , 74.00 
 11.10 , 79.00 
 11.10 , 71.00 
 11.10 , 79.00 
 11.10 , 87.00 
 11.10 , 89.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 105.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 77.00 
 11.10 , 63.00 
 11.10 , 70.00 
 11.10 , 88.00 
 11.10 , 78.00 
 11.10 , 86.00 
 11.10 , 88.00 
 11.10 , 100.00 
 11.10 , 90.00 
 11.10 , 100.00 
 11.10 , 90.00 
 11.10 , 100.00 
 11.10 , 77.00 
 11.10 , 100.00 
 11.10 , 96.00 
 11.10 , 80.00 
 11.10 , 100.00 
 11.10 , 80.00 
 11.10 , 86.00 
 11.10 , 88.00 
 11.10 , 96.00 
 11.10 , 76.00 
 11.10 , 86.00 
 11.10 , 75.00 
 11.10 , 85.00 
 11.10 , 74.00 
 11.10 , 74.00 
 11.10 , 73.00 
 11.10 , 80.00 
 11.10 , 78.00 
 11.10 , 86.00 
 11.10 , 71.00 
 11.10 , 82.00 
 11.10 , 94.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 80.00 
 11.10 , 83.00 
 11.10 , 110.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 80.00 
 11.10 , 60.00 
 11.10 , 70.00 
 11.10 , 60.00 
 11.10 , 80.00 
 11.10 , 73.00 
 11.10 , 75.00 
 11.10 , 86.00 
 11.10 , 78.00 
 11.10 , 77.00 
 11.10 , 70.00 
 11.10 , 90.00 
 11.10 , 70.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 79.00 
 11.10 , 88.00 
 11.10 , 76.00 
 11.10 , 78.00 
 11.10 , 100.00 
 11.10 , 75.00 
 11.10 , 69.00 
 11.10 , 74.00 
 11.10 , 92.00 
 11.10 , 81.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 73.00 
 11.10 , 78.00 
 11.10 , 67.00 
 11.10 , 83.00 
 11.10 , 85.00 
 11.10 , 83.00 
 11.10 , 79.00 
 11.10 , 78.00 
 11.10 , 85.00 
 11.10 , 95.00 
 11.10 , 107.00 
 11.10 , 101.00 
 11.10 , 70.00 
 11.10 , 66.00 
 11.10 , 83.00 
 11.10 , 110.00 
 11.10 , 100.00 
 11.10 , 100.00 
 11.10 , 110.00 
 11.10 , 100.00 
 11.10 , 83.00 
 11.10 , 80.00 
 11.10 , 80.00 
 11.10 , 100.00 
 11.10 , 90.00 
 11.10 , 100.00 
 11.10 , 90.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 70.00 
 11.10 , 110.00 
 11.10 , 110.00 
 11.10 , 80.00 
 11.10 , 87.00 
 11.10 , 116.00 
 11.10 , 108.00 
 11.10 , 82.00 
 11.10 , 95.00 
 11.10 , 84.00 
 11.10 , 81.00 
 11.10 , 75.00 
 11.10 , 82.00 
 11.10 , 86.00 
 11.10 , 80.00 
 11.10 , 60.00 
 11.10 , 80.00 
 11.10 , 70.00 
 11.10 , 80.00 
 11.10 , 86.00 
 11.10 , 74.00 
 11.10 , 99.00 
 11.10 , 85.00 
 11.10 , 72.00 
 11.10 , 77.00 
 11.20 , 82.00 
 11.20 , 80.00 
 11.20 , 86.00 
 11.20 , 90.00 
 11.20 , 70.00 
 11.20 , 75.00 
 11.20 , 78.00 
 11.20 , 87.00 
 11.20 , 79.00 
 11.20 , 59.00 
 11.20 , 70.00 
 11.20 , 46.00 
 11.20 , 59.00 
 11.20 , 74.00 
 11.20 , 85.00 
 11.20 , 82.00 
 11.20 , 74.00 
 11.20 , 115.00 
 11.20 , 114.00 
 11.20 , 101.00 
 11.20 , 100.00 
 11.20 , 92.00 
 11.20 , 81.00 
 11.20 , 76.00 
 11.20 , 77.00 
 11.20 , 83.00 
 11.20 , 88.00 
 11.20 , 85.00 
 11.20 , 72.00 
 11.20 , 83.00 
 11.20 , 77.00 
 11.20 , 70.00 
 11.20 , 84.00 
 11.20 , 92.00 
 11.20 , 88.00 
 11.20 , 71.00 
 11.20 , 86.00 
 11.20 , 84.00 
 11.20 , 90.00 
 11.20 , 71.00 
 11.20 , 84.00 
 11.20 , 88.00 
 11.20 , 85.00 
 11.20 , 90.00 
 11.20 , 87.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 62.00 
 11.20 , 84.00 
 11.20 , 70.00 
 11.20 , 84.00 
 11.20 , 67.00 
 11.20 , 86.00 
 11.20 , 88.00 
 11.20 , 78.00 
 11.20 , 75.00 
 11.20 , 83.00 
 11.20 , 84.00 
 11.20 , 83.00 
 11.20 , 85.00 
 11.20 , 90.00 
 11.20 , 100.00 
 11.20 , 73.00 
 11.20 , 69.00 
 11.20 , 76.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 82.00 
 11.20 , 98.00 
 11.20 , 84.00 
 11.20 , 72.00 
 11.20 , 81.00 
 11.20 , 117.00 
 11.20 , 85.00 
 11.20 , 95.00 
 11.20 , 107.00 
 11.20 , 121.00 
 11.20 , 89.00 
 11.20 , 78.00 
 11.20 , 76.00 
 11.20 , 88.00 
 11.20 , 81.00 
 11.20 , 87.00 
 11.20 , 87.00 
 11.20 , 93.00 
 11.20 , 81.00 
 11.20 , 87.00 
 11.20 , 82.00 
 11.20 , 115.00 
 11.20 , 107.00 
 11.20 , 70.00 
 11.20 , 61.00 
 11.20 , 100.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 107.00 
 11.20 , 79.00 
 11.20 , 110.00 
 11.20 , 100.00 
 11.20 , 98.00 
 11.20 , 85.00 
 11.20 , 87.00 
 11.20 , 100.00 
 11.20 , 90.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 91.00 
 11.20 , 85.00 
 11.20 , 82.00 
 11.20 , 77.00 
 11.20 , 81.00 
 11.20 , 70.00 
 11.20 , 80.00 
 11.20 , 76.00 
 11.20 , 98.00 
 11.20 , 90.00 
 11.20 , 97.80 
 11.20 , 79.00 
 11.20 , 75.00 
 11.20 , 50.00 
 11.20 , 68.00 
 11.20 , 76.00 
 11.20 , 78.00 
 11.20 , 81.00 
 11.20 , 40.00 
 11.20 , 50.00 
 11.20 , 50.00 
 11.20 , 30.00 
 11.20 , 50.00 
 11.20 , 82.00 
 11.20 , 78.00 
 11.20 , 78.00 
 11.20 , 83.00 
 11.20 , 93.60 
 11.20 , 87.00 
 11.20 , 92.00 
 11.20 , 92.00 
 11.20 , 99.00 
 11.20 , 91.00 
 11.20 , 107.00 
 11.20 , 70.00 
 11.20 , 50.00 
 11.20 , 84.00 
 11.20 , 72.00 
 11.20 , 81.00 
 11.20 , 81.00 
 11.20 , 79.00 
 11.20 , 82.00 
 11.20 , 95.00 
 11.20 , 115.00 
 11.20 , 89.00 
 11.20 , 84.00 
 11.20 , 78.60 
 11.20 , 100.00 
 11.20 , 77.00 
 11.20 , 76.00 
 11.20 , 62.00 
 11.20 , 76.00 
 11.20 , 95.00 
 11.20 , 80.00 
 11.20 , 82.00 
 11.20 , 84.00 
 11.20 , 84.00 
 11.20 , 73.00 
 11.20 , 65.00 
 11.20 , 84.00 
 11.20 , 92.00 
 11.20 , 89.00 
 11.20 , 84.00 
 11.20 , 90.00 
 11.20 , 99.00 
 11.20 , 83.00 
 11.20 , 68.00 
 11.20 , 79.00 
 11.20 , 90.00 
 11.20 , 90.00 
 11.20 , 82.00 
 11.20 , 84.00 
 11.20 , 84.00 
 11.20 , 84.00 
 11.20 , 89.00 
 11.20 , 83.00 
 11.20 , 90.00 
 11.20 , 86.00 
 11.20 , 84.00 
 11.20 , 90.00 
 11.20 , 87.00 
 11.20 , 86.00 
 11.20 , 80.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 90.00 
 11.20 , 108.00 
 11.20 , 60.00 
 11.20 , 80.00 
 11.20 , 70.00 
 11.20 , 80.00 
 11.20 , 70.00 
 11.20 , 70.00 
 11.20 , 70.00 
 11.20 , 60.00 
 11.20 , 70.00 
 11.20 , 70.00 
 11.20 , 82.00 
 11.20 , 81.00 
 11.20 , 84.00 
 11.20 , 70.00 
 11.20 , 84.00 
 11.20 , 85.00 
 11.20 , 82.00 
 11.20 , 88.00 
 11.20 , 85.00 
 11.20 , 110.00 
 11.20 , 90.00 
 11.20 , 100.00 
 11.20 , 90.00 
 11.20 , 95.00 
 11.20 , 95.00 
 11.20 , 95.00 
 11.20 , 95.00 
 11.20 , 96.00 
 11.20 , 78.00 
 11.20 , 80.00 
 11.20 , 94.00 
 11.20 , 73.00 
 11.20 , 88.00 
 11.20 , 93.00 
 11.20 , 91.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 80.00 
 11.20 , 92.00 
 11.20 , 91.00 
 11.20 , 95.00 
 11.20 , 92.00 
 11.20 , 91.00 
 11.20 , 83.00 
 11.20 , 95.00 
 11.20 , 115.00 
 11.20 , 77.00 
 11.20 , 85.00 
 11.20 , 88.00 
 11.20 , 78.00 
 11.20 , 96.00 
 11.20 , 76.00 
 11.20 , 80.00 
 11.20 , 67.00 
 11.20 , 86.00 
 11.20 , 101.00 
 11.20 , 86.00 
 11.20 , 70.00 
 11.20 , 110.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 90.00 
 11.20 , 95.00 
 11.20 , 90.00 
 11.20 , 95.00 
 11.20 , 90.00 
 11.20 , 100.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 110.00 
 11.20 , 90.00 
 11.20 , 60.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 60.00 
 11.20 , 80.00 
 11.20 , 110.00 
 11.20 , 70.00 
 11.20 , 80.00 
 11.20 , 70.00 
 11.20 , 73.00 
 11.20 , 78.00 
 11.20 , 84.00 
 11.20 , 83.00 
 11.20 , 85.00 
 11.20 , 93.00 
 11.20 , 120.00 
 11.20 , 86.00 
 11.20 , 93.00 
 11.20 , 107.00 
 11.20 , 110.00 
 11.20 , 90.00 
 11.20 , 100.00 
 11.20 , 98.00 
 11.20 , 102.00 
 11.20 , 104.00 
 11.20 , 111.00 
 11.20 , 123.00 
 11.20 , 110.00 
 11.20 , 80.00 
 11.20 , 84.00 
 11.20 , 73.00 
 11.20 , 86.00 
 11.20 , 75.00 
 11.20 , 77.00 
 11.20 , 70.00 
 11.20 , 84.00 
 11.20 , 88.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 70.00 
 11.20 , 70.00 
 11.20 , 90.00 
 11.20 , 70.00 
 11.20 , 85.00 
 11.20 , 103.00 
 11.20 , 100.00 
 11.20 , 81.00 
 11.20 , 80.00 
 11.20 , 87.00 
 11.20 , 77.00 
 11.20 , 83.00 
 11.20 , 88.00 
 11.20 , 84.00 
 11.20 , 72.00 
 11.20 , 111.00 
 11.20 , 109.00 
 11.20 , 118.00 
 11.20 , 95.00 
 11.20 , 107.00 
 11.20 , 60.00 
 11.20 , 70.00 
 11.20 , 80.00 
 11.20 , 70.00 
 11.20 , 69.00 
 11.20 , 93.00 
 11.20 , 74.00 
 11.20 , 95.00 
 11.20 , 103.00 
 11.20 , 107.00 
 11.20 , 80.00 
 11.20 , 87.00 
 11.20 , 89.00 
 11.20 , 64.00 
 11.20 , 94.00 
 11.20 , 112.00 
 11.20 , 110.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 60.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 60.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 90.00 
 11.20 , 70.00 
 11.20 , 84.00 
 11.20 , 75.00 
 11.20 , 90.00 
 11.20 , 100.00 
 11.20 , 70.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 100.00 
 11.20 , 50.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 100.00 
 11.20 , 118.00 
 11.20 , 117.00 
 11.20 , 92.00 
 11.20 , 88.00 
 11.20 , 100.00 
 11.20 , 97.00 
 11.20 , 81.00 
 11.20 , 111.00 
 11.20 , 107.00 
 11.20 , 83.00 
 11.20 , 101.00 
 11.20 , 96.00 
 11.20 , 93.00 
 11.20 , 96.00 
 11.20 , 86.00 
 11.20 , 112.00 
 11.20 , 89.00 
 11.20 , 86.00 
 11.20 , 77.00 
 11.20 , 87.00 
 11.20 , 77.00 
 11.20 , 76.00 
 11.20 , 74.00 
 11.20 , 81.00 
 11.20 , 87.00 
 11.20 , 87.00 
 11.20 , 85.00 
 11.20 , 70.00 
 11.20 , 80.00 
 11.20 , 75.00 
 11.20 , 75.00 
 11.20 , 84.00 
 11.20 , 90.00 
 11.20 , 80.00 
 11.20 , 90.00 
 11.20 , 85.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 80.00 
 11.20 , 85.00 
 11.20 , 90.00 
 11.20 , 84.00 
 11.20 , 85.00 
 11.20 , 90.00 
 11.20 , 75.00 
 11.20 , 80.00 
 11.20 , 85.00 
 11.20 , 93.00 
 11.20 , 80.00 
 11.20 , 71.00 
 11.20 , 93.00 
 11.20 , 85.00 
 11.20 , 84.00 
 11.20 , 90.00 
 11.20 , 90.00 
 11.20 , 92.00 
 11.20 , 85.00 
 11.20 , 80.00 
 11.20 , 110.00 
 11.20 , 66.00 
 11.20 , 98.00 
 11.20 , 69.00 
 11.20 , 87.00 
 11.20 , 100.00 
 11.20 , 92.00 
 11.20 , 100.00 
 11.20 , 91.00 
 11.30 , 82.00 
 11.30 , 76.00 
 11.30 , 69.00 
 11.30 , 105.00 
 11.30 , 70.00 
 11.30 , 59.00 
 11.30 , 75.00 
 11.30 , 89.00 
 11.30 , 81.00 
 11.30 , 73.00 
 11.30 , 113.00 
 11.30 , 93.00 
 11.30 , 86.00 
 11.30 , 89.00 
 11.30 , 112.00 
 11.30 , 78.00 
 11.30 , 82.00 
 11.30 , 72.00 
 11.30 , 78.00 
 11.30 , 70.00 
 11.30 , 86.00 
 11.30 , 82.00 
 11.30 , 76.00 
 11.30 , 77.00 
 11.30 , 87.00 
 11.30 , 79.00 
 11.30 , 100.00 
 11.30 , 90.00 
 11.30 , 107.00 
 11.30 , 100.00 
 11.30 , 94.00 
 11.30 , 110.00 
 11.30 , 60.00 
 11.30 , 80.00 
 11.30 , 83.00 
 11.30 , 87.00 
 11.30 , 94.00 
 11.30 , 100.00 
 11.30 , 95.00 
 11.30 , 105.00 
 11.30 , 77.00 
 11.30 , 83.00 
 11.30 , 91.00 
 11.30 , 111.00 
 11.30 , 87.00 
 11.30 , 84.00 
 11.30 , 84.00 
 11.30 , 78.00 
 11.30 , 120.00 
 11.30 , 75.00 
 11.30 , 100.00 
 11.30 , 70.00 
 11.30 , 80.00 
 11.30 , 70.00 
 11.30 , 80.00 
 11.30 , 108.00 
 11.30 , 84.00 
 11.30 , 75.00 
 11.30 , 72.00 
 11.30 , 40.00 
 11.30 , 83.00 
 11.30 , 85.00 
 11.30 , 110.00 
 11.30 , 87.00 
 11.30 , 99.00 
 11.30 , 106.00 
 11.30 , 92.00 
 11.30 , 89.00 
 11.30 , 78.00 
 11.30 , 79.00 
 11.30 , 73.00 
 11.30 , 95.00 
 11.30 , 100.00 
 11.30 , 87.00 
 11.30 , 81.00 
 11.30 , 94.00 
 11.30 , 132.00 
 11.30 , 73.00 
 11.30 , 77.00 
 11.30 , 80.00 
 11.30 , 78.00 
 11.30 , 110.00 
 11.30 , 60.00 
 11.30 , 30.00 
 11.30 , 62.00 
 11.30 , 90.00 
 11.30 , 30.00 
 11.30 , 60.00 
 11.30 , 50.00 
 11.30 , 50.00 
 11.30 , 101.00 
 11.30 , 97.00 
 11.30 , 82.00 
 11.30 , 96.00 
 11.30 , 143.00 
 11.30 , 90.00 
 11.30 , 90.00 
 11.30 , 75.00 
 11.30 , 89.00 
 11.30 , 93.00 
 11.30 , 103.00 
 11.30 , 81.00 
 11.30 , 83.00 
 11.30 , 91.00 
 11.30 , 83.60 
 11.30 , 95.40 
 11.30 , 73.30 
 11.30 , 79.00 
 11.30 , 67.00 
 11.30 , 79.00 
 11.30 , 90.00 
 11.30 , 83.00 
 11.30 , 92.00 
 11.30 , 85.00 
 11.30 , 83.00 
 11.30 , 83.00 
 11.30 , 117.00 
 11.30 , 82.00 
 11.30 , 89.00 
 11.30 , 91.00 
 11.30 , 87.90 
 11.30 , 86.00 
 11.30 , 70.00 
 11.30 , 80.00 
 11.30 , 82.00 
 11.30 , 83.00 
 11.30 , 76.00 
 11.30 , 93.00 
 11.30 , 73.00 
 11.30 , 89.00 
 11.30 , 92.00 
 11.30 , 91.00 
 11.30 , 73.00 
 11.30 , 100.00 
 11.30 , 89.00 
 11.30 , 93.60 
 11.30 , 74.30 
 11.30 , 76.30 
 11.30 , 90.70 
 11.30 , 80.00 
 11.30 , 95.00 
 11.30 , 70.00 
 11.30 , 92.00 
