 Length , Weight (g) 
 8.40 , 52.00 
 8.40 , 53.00 
 8.40 , 31.00 
 8.40 , 48.00 
 8.40 , 53.00 
 8.40 , 51.00 
 8.40 , 48.00 
 8.40 , 40.00 
 8.40 , 40.00 
 8.40 , 60.00 
 8.40 , 47.00 
 8.40 , 45.00 
 8.40 , 45.00 
 8.40 , 43.00 
 8.40 , 48.00 
 8.40 , 41.00 
 8.40 , 52.00 
 8.40 , 46.00 
 8.40 , 51.00 
 8.40 , 30.00 
 8.40 , 40.00 
 8.40 , 47.00 
 8.40 , 46.00 
 8.40 , 42.00 
 8.40 , 43.00 
 8.40 , 35.00 
 8.50 , 31.00 
 8.50 , 40.00 
 8.50 , 35.00 
 8.50 , 40.00 
 8.50 , 44.00 
 8.50 , 58.00 
 8.50 , 48.00 
 8.50 , 47.00 
 8.50 , 35.00 
 8.50 , 48.00 
 8.50 , 34.00 
 8.50 , 40.00 
 8.50 , 37.00 
 8.50 , 36.00 
 8.50 , 56.00 
 8.50 , 51.00 
 8.50 , 55.00 
 8.50 , 55.00 
 8.50 , 51.00 
 8.50 , 52.00 
 8.50 , 47.00 
 8.50 , 40.00 
 8.50 , 36.00 
 8.50 , 38.60 
 8.50 , 36.70 
 8.50 , 34.00 
 8.50 , 46.00 
 8.50 , 50.00 
 8.50 , 52.00 
 8.50 , 50.00 
 8.50 , 79.00 
 8.50 , 50.00 
 8.50 , 40.00 
 8.50 , 50.00 
 8.50 , 50.00 
 8.50 , 53.00 
 8.50 , 45.00 
 8.50 , 48.00 
 8.50 , 45.00 
 8.50 , 80.00 
 8.50 , 40.00 
 8.50 , 40.00 
 8.50 , 50.00 
 8.50 , 45.00 
 8.50 , 52.00 
 8.50 , 51.00 
 8.50 , 45.00 
 8.50 , 50.00 
 8.50 , 48.00 
 8.50 , 47.00 
 8.50 , 43.00 
 8.50 , 47.00 
 8.50 , 45.00 
 8.50 , 43.00 
 8.50 , 45.00 
 8.50 , 58.00 
 8.50 , 48.00 
 8.50 , 35.00 
 8.50 , 30.00 
 8.50 , 40.00 
 8.50 , 43.00 
 8.50 , 42.00 
 8.50 , 40.00 
 8.50 , 41.00 
 8.50 , 40.00 
 8.50 , 44.00 
 8.50 , 31.00 
 8.60 , 48.00 
 8.60 , 60.00 
 8.60 , 28.00 
 8.60 , 36.00 
 8.60 , 39.00 
 8.60 , 39.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 60.00 
 8.60 , 62.00 
 8.60 , 48.00 
 8.60 , 51.00 
 8.60 , 33.00 
 8.60 , 33.00 
 8.60 , 31.00 
 8.60 , 90.00 
 8.60 , 25.00 
 8.60 , 51.00 
 8.60 , 54.00 
 8.60 , 44.00 
 8.60 , 41.00 
 8.60 , 41.00 
 8.60 , 54.00 
 8.60 , 54.00 
 8.60 , 31.00 
 8.60 , 38.00 
 8.60 , 42.00 
 8.60 , 64.00 
 8.60 , 50.00 
 8.60 , 48.00 
 8.60 , 32.00 
 8.60 , 34.00 
 8.60 , 36.00 
 8.60 , 40.00 
 8.60 , 50.00 
 8.60 , 60.00 
 8.60 , 45.00 
 8.60 , 48.00 
 8.60 , 60.00 
 8.60 , 40.00 
 8.60 , 60.00 
 8.60 , 40.00 
 8.60 , 60.00 
 8.60 , 50.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 52.00 
 8.60 , 41.00 
 8.60 , 45.00 
 8.60 , 52.00 
 8.60 , 52.00 
 8.60 , 62.00 
 8.60 , 35.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 50.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 70.00 
 8.60 , 60.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 40.00 
 8.60 , 42.00 
 8.60 , 42.00 
 8.60 , 30.00 
 8.70 , 53.00 
 8.70 , 52.00 
 8.70 , 30.00 
 8.70 , 41.00 
 8.70 , 54.00 
 8.70 , 45.00 
 8.70 , 40.00 
 8.70 , 45.00 
 8.70 , 50.00 
 8.70 , 37.00 
 8.70 , 45.00 
 8.70 , 51.00 
 8.70 , 51.00 
 8.70 , 48.00 
 8.70 , 48.00 
 8.70 , 52.00 
 8.70 , 36.00 
 8.70 , 36.00 
 8.70 , 36.00 
 8.70 , 35.00 
 8.70 , 38.00 
 8.70 , 50.00 
 8.70 , 48.00 
